Sentences,Naive Bayes,KNN,Decision Tree,Logistic Regression,Perceptron Model,Random Forest,SVM,sum count,Company,True Label,Classified by Hand,Pattern Recognition,Issues / Comments
"Total Giving 2021 $88.5M 1.23% Supporting 3M communities in 50 states + District of Columbia, Puerto Rico, U.S. Virgin Islands, and more than 55 countries 83% of giving dedicated in the U.S., 17% international Total 2021 giving higher than any prior year at 3M compared to 2020 corporate median of $27.5M (Source: CECP1) of pre-tax profit compared to 2020 corporate median of 1.25% Advance Economic Equity 3M set goals to advance economic equity by supporting programs that will help increase participation of underrepresented populations in STEM and skilled trades careers.",1,1,0,0,0,0,0,2,3M,irr,irr,,
"When adjusted for sales, Scope 1 and 2 emissions decreased 17% over this same time period.",0,0,0,0,1,0,0,1,Abbott,rel,rel,,but needs more context
"To address remaining emissions, we’ll invest in proprietary, nature-based carbon removal solutions, such as large-scale tree planting, that will directly remove carbon emissions from the atmosphere.",0,1,0,0,1,0,0,2,Accenture,rel,rel,,
"However, the importance of Accenture’s role for the delivery of SDG Ambition cannot be stressed enough.",0,0,1,0,1,0,0,2,Accenture,irr,irr,,
"12.5 By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse 12.6 Encourage companies, especially large and transnational companies, to adopt sustainable practices and to integrate sustainability information into their reporting cycle.",0,0,1,0,0,0,0,1,Accenture,irr,irr,,looks like their high level goals. arguably rel?
• Scope 1 and 2 were reduced by 39%.,0,0,0,0,1,0,0,1,Accenture,rel,rel,,
"In addition, the Report outlines AEP’s financial and operational performance, while providing a forward look of the company’s strategy to achieve net-zero carbon emissions by 2050.",0,1,1,0,0,0,0,2,AEP,irr,rel,,
"Frequently, these efforts do not identify the root",0,0,1,0,1,0,0,2,AEP,irr,irr,,
"With the project will come more than 10,000 jobs over the course of construction and an entirely new industry for central Ohio.",0,0,1,0,0,1,0,2,AEP,irr,irr,,
"While we had approximately 1,150 transmission and distribution equipment oil spills in 2021, only one of the spills contained PCBs above EPA’s most stringently regulated level.",1,1,0,0,0,0,0,2,AEP,irr,rel,,
"Learn more A MESSAGE FROM THE CHAIRMAN “When I think about the future of energy, I see a world that is electric.",0,0,1,0,0,1,0,2,AEP,irr,irr,,
"To strengthen AEP’s long-standing commitment to, and respect for, human rights, in May 2022, we published a new Human Rights Policy.",0,0,0,0,1,0,0,1,AEP,irr,irr,,
2021 marked an important milestone in AEP’s clean energy transition when the company announced a plan to shift our generation portfolio from majority fossil fuel to majority renewables by the end of this decade.,0,1,0,0,0,0,0,1,AEP,rel,irr,,"arguably relevant, close call. but future tense - only plans, no actions so far - made me pick irr"
Acute Physical A warming climate could increase thermal stress and outdoor associate exposure to criteria air pollutants.,0,0,1,0,1,0,0,2,Amazon,irr,irr,laying out a problem scenario,
"In 2019, we installed the largest rooftop solar array in the state of Colorado at an Amazon fulfillment center in Thornton.",0,1,0,0,1,0,0,2,Amazon,rel,rel,,
"In 2020, we unveiled Amazon’s largest solar rooftop installation in Europe at a fulfillment center in the UK.",0,1,1,0,0,0,0,2,Amazon,rel,rel,,
"Upon its completion in 2022, the project is expected to generate 80,000 MWh of clean energy annually, enough to power more than 10,000 homes in Singapore.",0,0,1,0,0,0,0,1,Amazon,rel,rel,,
"We operate more than 300 e-cargo bikes to make deliveries from Whole Foods Market locations to customers in Manhattan and Williamsburg, New York.",1,0,0,0,0,0,0,1,Amazon,irr,rel,,
"With this donation, The Housing Fund will make financial grants available to help ensure that families can keep their homes and maintain critical, long-term financial stability.",0,0,1,0,0,0,0,1,Amazon,irr,irr,,
We are expanding our use of paper padded mailers across North America to replace the use of mixed paper and plastic mailers by the end of 2022.,1,0,0,0,0,0,0,1,Amazon,irr,rel,,
"Also, where possible, we have accelerated grid connections at newly built sites to utilize Kenyan grid power, which is increasingly powered by renewables.",0,0,0,0,0,1,0,1,AmericanTowerCorp,rel,rel,,
• Ninety-eight percent of staff worldwide completed Managing Unconscious Bias training .,0,0,0,0,0,1,0,1,Amgen,irr,irr,,
We’ve also begun to phase out chemistries that don’t meet our specifications.,1,1,0,0,0,0,0,2,Apple,irr,irr,,
Product energy use accounts for 22 percent of our gross carbon footprint — and has an impact on the individual energy use of each of our customers.,0,0,1,0,1,0,0,2,Apple,rel,rel,,
"Traceability, the ability to trace materials back to their source, represents another challenge.",0,0,0,0,1,0,0,1,Apple,irr,irr,,
"To help this supplier become the first zero waste certified site in the country, we saw an opportunity to introduce a successful tray reuse program currently used by our suppliers in China.",0,0,0,0,1,0,0,1,Apple,irr,rel,,
"To make up for the increase in direct emissions, We’re protecting and restoring 27,000 acres of mangrove forests in Colombia.",0,0,0,0,1,0,0,1,Apple,rel,rel,,
"at scale — like designing and Achieve carbon neutrality for our entire carbon footprint, including products, by 2030.",0,0,0,0,1,0,0,1,Apple,rel,irr,,
"Working with our suppliers to reduce their energy consumption, we avoided more than 1.15 million metric tons of carbon from manufacturing Apple products in fiscal year 2021.",0,0,1,0,0,0,0,1,Apple,rel,rel,,
We also collaborate with the Aluminium Stewardship Initiative and other industry organizations working to promote transparency across supply chains and establish additional auditing and due diligence systems.,0,0,1,0,0,0,0,1,Apple,irr,irr,,
We are continuing to deploy solutions to address our remaining footprint with great urgency.,1,0,0,0,0,0,0,1,Apple,irr,irr,,"vague, no specifics"
